Index,Signal,Players,Current Crash,Prev Crash,Pool (SOL),Overall Cashout,System PNL,Time,Success
163,BET,5,30.35,1.80,0.061,0.3104,0,2026-06-15T07:51:46.000Z,1
164,BET,5,1.80,2.07,0.108,0,0,2026-06-15T07:50:24.000Z,0
165,WAIT,8,2.07,3.70,0.392,0.0120,0,2026-06-15T07:49:48.000Z,1
166,WAIT,8,3.70,2.00,0.603,1.1069,0,2026-06-15T07:49:11.000Z,0
167,WAIT,8,2.00,2.80,0.603,0.0154,0,2026-06-15T07:48:25.000Z,1
168,WAIT,7,2.80,1.13,0.364,0.3305,0,2026-06-15T07:47:49.000Z,0
169,BET,7,1.13,4.23,0.248,0.0211,0,2026-06-15T07:47:06.000Z,0
170,BET,7,4.23,1.23,0.155,0.0179,0,2026-06-15T07:46:39.000Z,1
171,BET,8,1.23,2.17,0.155,0,0,2026-06-15T07:45:49.000Z,0
172,BET,8,2.01,14.98,0.231,0.1903,0,2026-06-15T07:40:16.000Z,0
173,WAIT,6,14.98,3.13,0.380,1.2057,0,2026-06-15T07:39:40.000Z,0
174,WAIT,8,3.13,1.16,0.380,0.0030,0,2026-06-15T07:38:29.000Z,0
175,BET,8,1.16,2.00,0.285,0.0101,0,2026-06-15T07:37:43.000Z,0
176,BET,6,2.00,1.08,0.285,0.0194,0,2026-06-15T07:37:15.000Z,0
177,WAIT,6,1.08,6.75,0.543,0,0,2026-06-15T07:36:38.000Z,1
178,WAIT,6,6.75,1.75,0.543,0.9592,0,2026-06-15T07:36:13.000Z,0
179,BET,7,1.75,2.34,0.280,0.3000,0,2026-06-15T07:35:16.000Z,0
180,BET,7,2.34,1.11,0.186,0.0120,0,2026-06-15T07:34:42.000Z,0
181,BET,6,1.11,2.10,0.186,0,0,2026-06-15T07:34:02.000Z,0
182,WAIT,5,2.10,2.98,0.842,0,0,2026-06-15T07:33:35.000Z,1
183,WAIT,6,2.98,1.68,0.842,0.7823,0,2026-06-15T07:32:58.000Z,0
184,WAIT,6,1.68,3.53,0.351,0.0104,0,2026-06-15T07:32:14.000Z,1
185,BET,4,3.53,12.46,0.184,0,0,2026-06-15T07:31:40.000Z,1
186,BET,4,12.46,1.48,0.191,0.5473,0,2026-06-15T07:30:53.000Z,1
187,BET,6,1.48,2.75,0.247,0,0,2026-06-15T07:29:46.000Z,0
188,WAIT,7,2.75,1.76,0.355,0.1521,0,2026-06-15T07:29:13.000Z,0
189,WAIT,8,1.76,4.83,0.430,0.0521,0,2026-06-15T07:28:31.000Z,1
190,WAIT,5,4.83,1.37,0.353,0.1526,0,2026-06-15T07:27:57.000Z,0
191,BET,7,1.37,1.21,0.136,0,0,2026-06-15T07:27:05.000Z,0
192,BET,7,1.21,18.02,0.136,0,0,2026-06-15T07:26:34.000Z,0
193,BET,7,18.02,177.57,0.130,0,0,2026-06-15T07:26:05.000Z,1
194,BET,8,177.57,5.43,0.139,0.3325,0,2026-06-15T07:24:52.000Z,1
195,WAIT,9,5.43,8.92,0.342,0.5026,0,2026-06-15T07:23:02.000Z,0
196,WAIT,8,8.92,1.91,0.342,0.7677,0,2026-06-15T07:22:08.000Z,0
197,BET,6,1.91,1.04,0.211,0.0492,0,2026-06-15T07:21:07.000Z,0
198,BET,5,1.04,1.45,0.189,0,0,2026-06-15T07:20:32.000Z,0
199,BET,5,1.45,1.75,0.242,0,0,2026-06-15T07:20:06.000Z,0
200,BET,5,1.75,3.31,0.242,0.0120,0,2026-06-15T07:19:35.000Z,0
201,WAIT,9,3.31,3.16,0.460,0.0780,0,2026-06-15T07:19:01.000Z,0
202,WAIT,9,3.16,1.03,0.460,0.4268,0,2026-06-15T07:18:15.000Z,0
203,WAIT,7,1.03,2.55,0.302,0,0,2026-06-15T07:17:31.000Z,1
204,WAIT,7,2.55,1.59,0.302,0.0120,0,2026-06-15T07:17:06.000Z,0
205,BET,5,1.59,2.87,0.273,0.2250,0,2026-06-15T07:16:26.000Z,0
206,BET,5,2.87,1.88,0.251,0.4613,0,2026-06-15T07:15:53.000Z,1
207,BET,9,1.88,1.32,0.276,0.2831,0,2026-06-15T07:15:11.000Z,0
208,BET,9,1.32,1.01,0.276,0.0628,0,2026-06-15T07:14:35.000Z,0
209,WAIT,8,1.01,2.84,0.327,0,0,2026-06-15T07:14:05.000Z,1
210,WAIT,7,2.84,16.65,0.373,0.5497,0,2026-06-15T07:13:41.000Z,0
211,WAIT,6,16.65,8.76,0.373,0.8551,0,2026-06-15T07:12:58.000Z,0
212,BET,4,8.76,3.01,0.087,0.1979,0,2026-06-15T07:11:46.000Z,1
213,WAIT,12,4.02,1.59,0.565,0.0339,0,2026-06-15T07:02:27.000Z,0
214,WAIT,11,1.59,1.57,0.565,0.0802,0,2026-06-15T07:01:39.000Z,1
215,WAIT,9,1.57,2.66,0.305,0.0645,0,2026-06-15T07:01:06.000Z,1
216,BET,9,2.66,2.00,0.274,0.0861,0,2026-06-15T07:00:34.000Z,1
217,BET,4,2.00,13.87,0.025,0.0050,0,2026-06-15T06:59:52.000Z,0
218,WAIT,10,13.87,1.02,0.463,0.0751,0,2026-06-15T06:59:16.000Z,0
219,WAIT,11,1.02,1.42,0.566,0,0,2026-06-15T06:58:08.000Z,1
220,WAIT,12,1.42,2.35,0.566,0.2972,0,2026-06-15T06:57:41.000Z,1
221,WAIT,12,2.35,3.24,0.569,0.5721,0,2026-06-15T06:57:10.000Z,1
222,WAIT,12,3.24,2.14,0.569,0.3163,0,2026-06-15T06:56:30.000Z,0
223,WAIT,9,2.14,1.35,0.530,0.0010,0,2026-06-15T06:55:45.000Z,1
224,WAIT,9,1.35,2.52,0.530,0.0060,0,2026-06-15T06:55:07.000Z,1
225,WAIT,9,2.52,1.83,0.424,0.0814,0,2026-06-15T06:54:37.000Z,0
226,WAIT,11,1.83,1.00,1.655,0.0040,0,2026-06-15T06:53:57.000Z,1
227,WAIT,11,1.00,3.63,1.655,0,0,2026-06-15T06:53:22.000Z,1
228,WAIT,11,3.63,1.13,0.722,0.0321,0,2026-06-15T06:52:56.000Z,0
229,WAIT,13,1.13,2.49,0.944,0,0,2026-06-15T06:52:09.000Z,1
230,WAIT,14,2.49,2.68,1.746,0.4066,0,2026-06-15T06:51:42.000Z,1
231,WAIT,10,2.68,7.66,1.746,1.3227,0,2026-06-15T06:51:02.000Z,0
232,WAIT,13,7.66,3.44,1.118,0.7710,0,2026-06-15T06:50:20.000Z,0
233,BET,16,3.44,1.46,1.571,1.3325,0,2026-06-15T06:49:21.000Z,1
234,BET,16,1.46,1.55,1.571,1.0963,0,2026-06-15T06:48:36.000Z,0
235,WAIT,13,1.55,1.07,1.204,1.0854,0,2026-06-15T06:48:05.000Z,1
236,WAIT,13,1.07,1.79,0.893,0,0,2026-06-15T06:47:32.000Z,1
237,WAIT,13,1.79,1.65,0.893,0.4212,0,2026-06-15T06:47:06.000Z,1
238,WAIT,13,1.65,1.60,0.692,0.3859,0,2026-06-15T06:46:31.000Z,1
239,WAIT,14,1.60,1.44,0.499,0.3568,0,2026-06-15T06:45:58.000Z,1
240,WAIT,14,1.44,3.72,0.400,0.1327,0,2026-06-15T06:45:25.000Z,1
241,WAIT,11,3.72,1.00,0.400,0.2401,0,2026-06-15T06:44:54.000Z,0
242,WAIT,11,1.00,1.69,0.353,0,0,2026-06-15T06:44:08.000Z,1
243,WAIT,11,1.69,3.36,0.353,0.2027,0,2026-06-15T06:43:42.000Z,1
244,WAIT,11,3.36,5.64,1.160,0.2230,0,2026-06-15T06:43:09.000Z,0
245,WAIT,11,5.64,2.11,1.160,1.3452,0,2026-06-15T06:42:24.000Z,0
246,WAIT,11,2.11,3.31,1.256,0,0,2026-06-15T06:41:29.000Z,1
247,WAIT,10,3.31,1.03,1.256,1.2775,0,2026-06-15T06:40:50.000Z,0
248,WAIT,8,1.03,1.07,0.748,0,0,2026-06-15T06:40:05.000Z,1
249,WAIT,13,1.07,2.33,0.977,0,0,2026-06-15T06:39:39.000Z,1
250,WAIT,13,2.33,1.08,0.977,0.2885,0,2026-06-15T06:39:13.000Z,1
251,WAIT,11,1.08,2.49,0.303,0.0050,0,2026-06-15T06:38:34.000Z,1
252,WAIT,11,2.49,1.36,0.354,0.2879,0,2026-06-15T06:38:07.000Z,1
253,WAIT,12,1.36,3.28,0.441,0.2100,0,2026-06-15T06:37:27.000Z,1
254,WAIT,16,3.28,2.57,0.675,0.2146,0,2026-06-15T06:36:57.000Z,0
255,WAIT,16,2.57,1.73,0.675,0.2468,0,2026-06-15T06:36:13.000Z,0
256,WAIT,13,1.73,161.65,0.432,0.0120,0,2026-06-15T06:35:32.000Z,1
257,WAIT,12,161.65,1.29,0.385,0.5825,0,2026-06-15T06:34:57.000Z,0
258,BET,10,1.29,1.24,0.185,0.0166,0,2026-06-15T06:32:38.000Z,0
259,WAIT,10,1.24,1.70,1.095,0,0,2026-06-15T06:32:09.000Z,1
260,WAIT,9,1.70,1.04,1.095,1.0723,0,2026-06-15T06:31:40.000Z,1
261,WAIT,9,1.04,1.10,0.333,0,0,2026-06-15T06:31:06.000Z,1
262,WAIT,10,1.10,1.39,0.401,0,0,2026-06-15T06:30:41.000Z,1
263,WAIT,10,1.39,1.69,0.401,0.0101,0,2026-06-15T06:30:14.000Z,1
264,WAIT,9,1.69,1.53,0.405,0,0,2026-06-15T06:29:44.000Z,1
265,WAIT,9,1.53,1.21,0.405,0.0721,0,2026-06-15T06:29:09.000Z,1
266,BET,12,1.21,1.07,0.221,0,0,2026-06-15T06:28:38.000Z,0
267,BET,12,1.07,1.18,0.221,0,0,2026-06-15T06:28:08.000Z,0
268,BET,10,1.18,1.61,0.204,0,0,2026-06-15T06:27:41.000Z,0
269,BET,10,1.61,1.77,0.204,0.0610,0,2026-06-15T06:27:14.000Z,0
270,BET,10,1.77,2.27,0.162,0.0045,0,2026-06-15T06:26:41.000Z,0
271,BET,10,2.27,1.43,0.206,0.0047,0,2026-06-15T06:26:05.000Z,0
272,BET,9,1.43,2.45,0.269,0.0744,0,2026-06-15T06:25:26.000Z,0
273,WAIT,9,2.45,1.76,3.055,0.0160,0,2026-06-15T06:24:55.000Z,1
274,WAIT,13,1.76,1.33,3.055,0.0096,0,2026-06-15T06:24:16.000Z,1
275,WAIT,13,1.33,1.53,1.153,0,0,2026-06-15T06:23:42.000Z,1
276,BET,10,1.53,3.66,0.206,0.0060,0,2026-06-15T06:23:12.000Z,0
277,WAIT,8,3.66,3.47,1.106,0.0027,0,2026-06-15T06:22:40.000Z,0
278,WAIT,10,3.47,1.63,1.106,0.0027,0,2026-06-15T06:21:53.000Z,0
279,WAIT,11,1.63,1.81,3.964,0.0021,0,2026-06-15T06:21:07.000Z,1
280,WAIT,9,1.81,1.44,3.156,0.0056,0,2026-06-15T06:20:34.000Z,1
281,WAIT,9,1.44,3.20,3.156,0.0239,0,2026-06-15T06:19:59.000Z,1
282,WAIT,9,3.20,4.35,0.316,0,0,2026-06-15T06:19:27.000Z,0
283,WAIT,8,4.35,1.02,4.916,0.4465,0,2026-06-15T06:18:43.000Z,0
284,WAIT,9,1.02,1.33,4.916,0,0,2026-06-15T06:17:53.000Z,1
285,WAIT,10,1.33,1.10,4.896,0.0103,0,2026-06-15T06:17:28.000Z,1
286,WAIT,10,1.10,2.26,2.556,0,0,2026-06-15T06:16:58.000Z,1
287,WAIT,9,2.26,1.03,1.470,0.1807,0,2026-06-15T06:16:32.000Z,1
288,WAIT,9,1.03,283.94,1.470,0,0,2026-06-15T06:15:53.000Z,1
289,BET,8,283.94,1.52,0.172,14.4056,0,2026-06-15T06:15:27.000Z,1
290,BET,8,1.52,12.60,0.178,0.0101,0,2026-06-15T06:13:28.000Z,0
